622 1142
5882 3571 1.000000
3571 5882 1.000000
471 705 0.250000
471 4473 0.500000
705 471 0.500000
705 136 0.333333
705 6257 0.142857
705 4040 0.200000
2833 1027 0.250000
2833 3511 1.000000
2833 6143 0.200000
2833 2912 0.250000
2833 3194 0.250000
1027 2833 0.200000
1027 6143 0.200000
1027 2912 0.250000
1027 5676 0.090909
3511 2833 0.200000
6143 2833 0.200000
6143 5846 0.200000
6143 2912 0.250000
6143 5676 0.090909
6143 1027 0.250000
2912 2833 0.200000
2912 6143 0.200000
2912 1027 0.250000
2912 6321 0.500000
3194 2833 0.200000
3194 5343 0.071429
3194 2821 0.142857
3194 6293 0.500000
618 5324 1.000000
5324 618 1.000000
2533 4916 0.250000
2533 1754 0.333333
2533 2865 0.500000
2533 5938 1.000000
2533 2639 0.166667
2533 2237 1.000000
2533 3880 0.200000
2533 764 1.000000
2533 373 0.333333
2533 4259 1.000000
2533 2952 0.500000
2533 3649 1.000000
2533 5401 1.000000
4916 2533 0.076923
4916 4333 0.050000
4916 5256 0.250000
4916 885 1.000000
1754 2533 0.076923
1754 5700 0.500000
1754 3880 0.200000
4796 2448 0.333333
2448 4796 1.000000
2448 4100 0.333333
2448 6001 0.500000
1665 3563 1.000000
3563 1665 1.000000
1510 4240 0.500000
4240 1510 1.000000
4240 70 0.111111
5453 5510 0.500000
5453 1944 1.000000
5510 5453 0.500000
5510 2018 1.000000
1944 5453 0.500000
4093 3957 0.500000
3957 4093 1.000000
3957 1329 1.000000
201 5135 0.500000
5135 201 1.000000
5135 5368 0.333333
559 39 1.000000
39 559 1.000000
5519 70 0.111111
70 5519 1.000000
70 2019 1.000000
70 5239 0.500000
70 327 1.000000
70 3471 1.000000
70 4240 0.500000
70 4516 0.500000
70 1983 1.000000
70 5293 0.200000
5549 6359 1.000000
6359 5549 1.000000
4964 2329 1.000000
2329 4964 1.000000
2865 2533 0.076923
2865 3785 1.000000
5938 2533 0.076923
2639 2533 0.076923
2639 1522 0.200000
2639 3880 0.200000
2639 469 1.000000
2639 1147 0.333333
2639 5943 0.333333
2237 2533 0.076923
5065 5564 1.000000
5564 5065 1.000000
62 5613 1.000000
5613 62 1.000000
1991 5466 0.500000
1991 867 0.500000
5466 1991 0.500000
5466 867 0.500000
867 1991 0.500000
867 5466 0.500000
3598 6048 0.035714
6048 3598 1.000000
6048 5950 1.000000
6048 221 0.500000
6048 2821 0.142857
6048 5239 0.500000
6048 133 1.000000
6048 756 1.000000
6048 5215 1.000000
6048 4678 1.000000
6048 1124 0.250000
6048 172 1.000000
6048 5160 1.000000
6048 537 0.333333
6048 3880 0.200000
6048 943 0.500000
6048 5496 1.000000
6048 6321 0.500000
6048 3008 1.000000
6048 4040 0.200000
6048 3487 1.000000
6048 4415 1.000000
6048 4805 0.500000
6048 1399 0.500000
6048 216 1.000000
6048 3565 0.333333
6048 1681 0.200000
6048 4747 1.000000
6048 4963 1.000000
2262 5553 0.200000
2262 4915 1.000000
5553 2262 0.500000
5553 3167 1.000000
5553 5138 1.000000
5553 84 0.333333
5553 1924 1.000000
4915 2262 0.500000
514 3961 1.000000
3961 514 1.000000
2223 2056 0.500000
2056 2223 1.000000
2056 1681 0.200000
3880 2533 0.076923
3880 2639 0.166667
3880 1250 0.111111
3880 6048 0.035714
3880 1754 0.333333
764 2533 0.076923
373 2533 0.076923
373 1194 0.200000
373 1250 0.111111
4259 2533 0.076923
2952 2533 0.076923
2952 5734 1.000000
3649 2533 0.076923
1610 3321 1.000000
3321 1610 1.000000
178 1465 1.000000
1465 178 1.000000
3167 5553 0.200000
3785 2865 0.500000
1588 1194 0.200000
1194 1588 1.000000
1194 373 0.333333
1194 3370 1.000000
1194 1336 1.000000
1194 537 0.333333
5660 4031 1.000000
4031 5660 1.000000
1522 2639 0.166667
1522 4451 1.000000
1522 1446 1.000000
1522 5420 0.500000
1522 5518 1.000000
136 705 0.250000
136 113 0.500000
136 3312 0.111111
4451 1522 0.200000
1446 1522 0.200000
5420 1522 0.200000
5420 4688 1.000000
5518 1522 0.200000
5950 6048 0.035714
2531 6045 0.250000
6045 2531 1.000000
6045 4407 0.500000
6045 1699 1.000000
6045 6268 0.500000
404 67 1.000000
67 404 1.000000
6259 2866 1.000000
6259 2537 0.500000
2866 6259 0.500000
2537 6259 0.500000
2537 4921 1.000000
6141 2081 1.000000
2081 6141 1.000000
2019 70 0.111111
4491 2821 0.142857
4491 1744 0.500000
4491 5676 0.090909
2821 4491 0.333333
2821 6257 0.142857
2821 5846 0.200000
2821 5343 0.071429
2821 6048 0.035714
2821 3194 0.250000
2821 3312 0.111111
1744 4491 0.333333
1744 413 1.000000
5676 4491 0.333333
5676 4116 0.333333
5676 6143 0.200000
5676 1930 0.500000
5676 1975 0.500000
5676 1286 1.000000
5676 2904 1.000000
5676 5120 1.000000
5676 3522 0.500000
5676 1027 0.250000
5676 1042 1.000000
336 2068 1.000000
2068 336 1.000000
4435 787 1.000000
787 4435 1.000000
3852 1930 0.500000
3852 1159 1.000000
3852 429 0.076923
1930 3852 0.333333
1930 5676 0.090909
3492 5179 1.000000
3492 5923 1.000000
3492 3858 0.500000
3492 927 1.000000
3492 5819 1.000000
3492 1144 0.500000
5179 3492 0.166667
6257 4040 0.200000
6257 2234 1.000000
6257 4206 0.200000
6257 3312 0.111111
6257 2821 0.142857
6257 705 0.250000
6257 2248 0.500000
4040 6257 0.142857
4040 705 0.250000
4040 6048 0.035714
4040 5704 0.333333
4040 4206 0.200000
2234 6257 0.142857
4206 6257 0.142857
4206 1912 0.250000
4206 4040 0.200000
4206 3312 0.111111
4206 4906 1.000000
3312 6257 0.142857
3312 6049 0.500000
3312 2312 1.000000
3312 5293 0.200000
3312 136 0.333333
3312 2821 0.142857
3312 292 0.500000
3312 4653 0.500000
3312 4206 0.200000
2248 6257 0.142857
2248 5857 0.333333
2045 571 1.000000
571 2045 1.000000
2141 1928 1.000000
1928 2141 1.000000
862 1868 1.000000
862 4017 0.500000
862 24 1.000000
1868 862 0.333333
2637 5812 1.000000
5812 2637 1.000000
5846 1124 0.250000
5846 2821 0.142857
5846 3206 1.000000
5846 1967 0.500000
5846 6143 0.200000
1124 5846 0.200000
1124 6048 0.035714
1124 5343 0.071429
1124 1967 0.500000
3206 5846 0.200000
1967 5846 0.200000
1967 1124 0.250000
5294 176 1.000000
176 5294 1.000000
2525 3271 0.166667
2525 6347 1.000000
2525 4010 0.500000
3271 2525 0.333333
3271 13 1.000000
3271 5368 0.333333
3271 1314 0.500000
3271 5343 0.071429
3271 4010 0.500000
6347 2525 0.333333
3791 5827 1.000000
5827 3791 1.000000
4484 6084 0.500000
6084 4484 1.000000
6084 2805 1.000000
5579 1922 1.000000
1922 5579 1.000000
1159 3852 0.333333
469 2639 0.166667
1147 2639 0.166667
1147 793 1.000000
1147 581 1.000000
5943 2639 0.166667
5943 5936 1.000000
5943 2317 1.000000
221 2580 1.000000
221 6048 0.035714
2580 221 0.500000
429 3852 0.333333
429 4333 0.050000
429 3475 1.000000
429 2016 0.333333
429 292 0.500000
429 3807 1.000000
429 175 1.000000
429 2109 0.250000
429 2387 0.500000
429 4839 0.500000
429 2368 0.142857
429 5151 1.000000
429 1681 0.200000
4120 5849 0.333333
5849 4120 1.000000
5849 5851 0.500000
5849 1219 1.000000
6095 5409 1.000000
5409 6095 1.000000
591 4195 1.000000
4195 591 1.000000
1083 1226 1.000000
1226 1083 1.000000
6266 864 0.083333
6266 6042 0.142857
6266 4485 0.111111
6266 446 0.090909
6266 4038 0.333333
6266 2986 0.142857
6266 4953 0.111111
6266 1819 0.166667
6266 2758 0.090909
6266 1986 0.142857
6266 778 0.066667
864 6266 0.090909
864 3982 0.111111
864 6042 0.142857
864 4485 0.111111
864 446 0.090909
864 4026 0.250000
864 2986 0.142857
864 4953 0.111111
864 2245 0.166667
864 2758 0.090909
864 1986 0.142857
864 778 0.066667
6042 6266 0.090909
6042 4485 0.111111
6042 446 0.090909
6042 4953 0.111111
6042 1986 0.142857
6042 778 0.066667
6042 864 0.083333
4485 6266 0.090909
4485 6042 0.142857
4485 446 0.090909
4485 4038 0.333333
4485 4953 0.111111
4485 4365 0.142857
4485 1986 0.142857
4485 778 0.066667
4485 864 0.083333
446 6266 0.090909
446 6042 0.142857
446 4485 0.111111
446 4038 0.333333
446 2986 0.142857
446 4953 0.111111
446 2758 0.090909
446 1986 0.142857
446 778 0.066667
446 3982 0.111111
446 864 0.083333
4038 6266 0.090909
4038 4485 0.111111
4038 446 0.090909
2986 6266 0.090909
2986 446 0.090909
2986 3982 0.111111
2986 864 0.083333
2986 4365 0.142857
2986 1986 0.142857
2986 778 0.066667
4953 6266 0.090909
4953 6042 0.142857
4953 4485 0.111111
4953 446 0.090909
4953 3982 0.111111
4953 864 0.083333
4953 1819 0.166667
4953 2758 0.090909
4953 778 0.066667
1819 6266 0.090909
1819 2758 0.090909
1819 2245 0.166667
1819 6097 0.200000
1819 778 0.066667
1819 4953 0.111111
2758 6266 0.090909
2758 2245 0.166667
2758 1819 0.166667
2758 6097 0.200000
2758 3450 1.000000
2758 4365 0.142857
2758 446 0.090909
2758 3982 0.111111
2758 864 0.083333
2758 174 0.250000
2758 4953 0.111111
1986 6266 0.090909
1986 6042 0.142857
1986 4485 0.111111
1986 446 0.090909
1986 3982 0.111111
1986 864 0.083333
1986 2986 0.142857
778 6266 0.090909
778 4333 0.050000
778 2245 0.166667
778 1819 0.166667
778 174 0.250000
778 4365 0.142857
778 6042 0.142857
778 4485 0.111111
778 446 0.090909
778 3982 0.111111
778 864 0.083333
778 4026 0.250000
778 2940 1.000000
778 4953 0.111111
778 2986 0.142857
3674 3864 0.500000
3864 3674 1.000000
3864 1601 1.000000
4010 2525 0.333333
4010 3271 0.166667
4630 3435 1.000000
3435 4630 1.000000
3776 1992 1.000000
3776 1018 1.000000
1992 3776 0.500000
1018 3776 0.500000
5343 2821 0.142857
5343 4100 0.333333
5343 6001 0.500000
5343 3194 0.250000
5343 5351 0.500000
5343 5631 1.000000
5343 6049 0.500000
5343 5368 0.333333
5343 3271 0.166667
5343 6244 1.000000
5343 1314 0.500000
5343 1124 0.250000
5343 1912 0.250000
5343 6399 0.500000
4100 5343 0.071429
4100 3720 0.166667
4100 2448 0.333333
6001 5343 0.071429
6001 2448 0.333333
1886 4546 1.000000
4546 1886 1.000000
5239 70 0.111111
5239 6048 0.035714
4213 6161 1.000000
4213 3522 0.500000
6161 4213 0.500000
818 4961 0.333333
818 4718 1.000000
818 4285 0.500000
4961 818 0.333333
4961 617 0.500000
4961 2368 0.142857
2894 4333 0.050000
4333 2894 1.000000
4333 253 1.000000
4333 1168 1.000000
4333 4916 0.250000
4333 6387 0.142857
4333 5443 0.333333
4333 429 0.076923
4333 778 0.066667
4333 1849 1.000000
4333 836 1.000000
4333 3038 1.000000
4333 4573 1.000000
4333 1215 1.000000
4333 2368 0.142857
4333 4604 1.000000
4333 20 1.000000
4333 6086 0.333333
4333 3075 1.000000
4333 3565 0.333333
4333 3689 1.000000
2261 179 1.000000
179 2261 1.000000
2335 4148 1.000000
