10214 78822
237 1 0.200000
237 280 0.083333
237 326 0.043478
237 665 0.047619
237 2903 0.052632
237 3097 0.055556
1 237 0.166667
1 326 0.043478
1 665 0.047619
1 2430 0.111111
1 7664 0.111111
326 1 0.200000
326 4 0.166667
326 62 0.100000
326 85 0.125000
326 94 0.166667
326 237 0.166667
326 280 0.083333
326 345 0.111111
326 349 0.166667
326 363 0.111111
326 382 0.166667
326 435 0.125000
326 490 0.111111
326 512 0.166667
326 563 0.142857
326 593 0.100000
326 665 0.047619
326 694 0.200000
326 709 0.166667
326 760 0.200000
326 786 0.166667
326 6884 0.166667
326 7393 0.055556
665 1 0.200000
665 4 0.166667
665 62 0.100000
665 85 0.125000
665 94 0.166667
665 237 0.166667
665 280 0.083333
665 326 0.043478
665 345 0.111111
665 349 0.166667
665 363 0.111111
665 382 0.166667
665 435 0.125000
665 490 0.111111
665 512 0.166667
665 563 0.142857
665 593 0.100000
665 694 0.200000
665 709 0.166667
665 6884 0.166667
665 7393 0.055556
2430 1 0.200000
2430 2377 0.111111
2430 3215 0.100000
2430 3362 0.100000
2430 3916 0.020000
2430 4195 0.021277
2430 5132 0.200000
2430 6000 0.166667
2430 9457 0.200000
7664 1 0.200000
7664 139 0.142857
7664 312 0.200000
7664 769 0.200000
7664 953 0.200000
7664 3842 0.100000
7664 4176 0.100000
7664 4547 0.100000
7664 7746 0.166667
183 2 0.200000
183 30 0.111111
183 229 0.142857
183 347 0.142857
183 524 0.111111
183 570 0.090909
183 653 0.125000
2 183 0.142857
2 494 0.142857
2 577 0.200000
2 653 0.125000
2 719 0.111111
494 2 0.200000
494 19 0.166667
494 308 0.142857
494 368 0.200000
494 421 0.166667
494 653 0.125000
494 708 0.200000
577 2 0.200000
577 48 0.142857
577 719 0.111111
577 5357 0.090909
577 9751 0.090909
653 2 0.200000
653 19 0.166667
653 162 0.200000
653 183 0.142857
653 229 0.142857
653 287 0.200000
653 347 0.142857
653 494 0.142857
719 2 0.200000
719 424 0.166667
719 577 0.200000
719 891 0.200000
719 1259 0.166667
719 1960 0.071429
719 6116 0.125000
719 7031 0.200000
719 8559 0.200000
817 3 0.200000
817 330 0.200000
817 439 0.166667
817 580 0.200000
817 780 0.200000
817 898 0.166667
817 901 0.066667
817 994 0.166667
817 1036 0.066667
817 1586 0.200000
817 2884 0.076923
817 3316 0.200000
817 3551 0.200000
817 3753 0.066667
817 4574 0.166667
817 5135 0.058824
817 5897 0.166667
817 5913 0.142857
817 5953 0.142857
817 6006 0.200000
817 6032 0.083333
817 6137 0.200000
817 6477 0.200000
817 6493 0.016949
817 6511 0.200000
817 6569 0.200000
817 6641 0.035714
817 6642 0.200000
817 7430 0.200000
817 7579 0.200000
817 7662 0.052632
817 7844 0.166667
817 8485 0.200000
817 8744 0.200000
817 9282 0.142857
817 9845 0.200000
3 817 0.027778
3 1381 0.166667
3 6994 0.125000
3 7402 0.111111
3 8660 0.500000
1381 3 0.200000
1381 1085 0.142857
1381 1656 0.125000
1381 3225 0.100000
1381 3468 0.111111
1381 4304 0.200000
6994 3 0.200000
6994 1448 0.111111
6994 1561 0.142857
6994 2842 0.142857
6994 3100 0.031250
6994 4750 0.142857
6994 4792 0.142857
6994 7402 0.111111
7402 3 0.200000
7402 1448 0.111111
7402 1561 0.142857
7402 2842 0.142857
7402 3100 0.031250
7402 4750 0.142857
7402 4792 0.142857
7402 6994 0.125000
7402 8132 0.142857
8660 3 0.200000
8660 934 0.200000
4 326 0.043478
4 349 0.166667
4 514 0.166667
4 593 0.100000
4 665 0.047619
4 668 0.200000
349 4 0.166667
349 326 0.043478
349 514 0.166667
349 665 0.047619
349 668 0.200000
349 2929 0.076923
514 4 0.166667
514 349 0.166667
514 473 0.125000
514 1365 0.111111
514 6171 0.166667
514 7780 0.100000
593 4 0.166667
593 94 0.166667
593 280 0.083333
593 326 0.043478
593 345 0.111111
593 363 0.111111
593 563 0.142857
593 665 0.047619
593 694 0.200000
593 709 0.166667
668 4 0.166667
668 289 0.200000
668 349 0.166667
668 639 0.200000
668 2408 0.200000
765 5 0.200000
765 67 0.200000
765 104 0.200000
765 600 0.166667
765 607 0.200000
765 643 0.200000
765 674 0.200000
765 770 0.050000
765 7314 0.200000
765 7866 0.166667
5 765 0.100000
5 770 0.050000
5 803 0.125000
5 7756 0.058824
5 8054 0.111111
770 5 0.200000
770 67 0.200000
770 104 0.200000
770 600 0.166667
770 607 0.200000
770 643 0.200000
770 674 0.200000
770 745 0.200000
770 765 0.100000
770 1945 0.200000
770 2167 0.200000
770 5791 0.111111
770 5814 0.166667
770 5883 0.100000
770 5969 0.200000
770 6200 0.200000
770 6414 0.200000
770 7314 0.200000
770 7866 0.166667
770 7955 0.142857
803 5 0.200000
803 15 0.166667
803 238 0.090909
803 239 0.200000
803 302 0.125000
803 6312 0.125000
803 7475 0.200000
803 8054 0.111111
7756 5 0.200000
7756 348 0.200000
7756 6212 0.100000
7756 6674 0.111111
7756 6936 0.166667
7756 6990 0.125000
7756 7001 0.066667
7756 7006 0.200000
7756 7095 0.052632
7756 7211 0.200000
7756 7495 0.200000
7756 7545 0.058824
7756 7667 0.142857
7756 7722 0.142857
7756 7783 0.166667
7756 7936 0.166667
7756 7943 0.041667
8054 5 0.200000
8054 238 0.090909
8054 803 0.125000
8054 1332 0.125000
8054 2098 0.023256
8054 5243 0.029412
8054 5885 0.200000
8054 5956 0.200000
8054 6177 0.125000
12 6 0.045455
12 50 0.200000
12 87 0.200000
12 163 0.200000
12 197 0.142857
12 210 0.111111
12 364 0.200000
12 438 0.166667
12 612 0.142857
12 624 0.200000
12 716 0.166667
12 725 0.166667
12 814 0.010753
12 832 0.166667
12 1044 0.166667
12 1048 0.071429
12 1169 0.012195
12 1201 0.015625
12 1222 0.111111
12 1261 0.200000
12 1546 0.022222
12 1569 0.200000
12 1711 0.200000
12 1780 0.200000
12 1804 0.200000
12 1854 0.200000
12 2092 0.200000
12 2108 0.200000
12 2169 0.166667
12 2215 0.200000
12 2388 0.083333
12 2552 0.166667
12 2863 0.058824
12 2913 0.200000
12 3264 0.166667
12 3276 0.200000
12 3423 0.200000
12 3429 0.200000
12 3481 0.142857
12 3492 0.142857
12 3508 0.166667
12 3555 0.200000
12 3710 0.200000
12 3769 0.200000
12 3776 0.200000
12 4108 0.166667
12 4211 0.200000
12 4335 0.166667
12 4717 0.166667
12 4762 0.200000
12 4791 0.200000
12 4797 0.166667
12 4861 0.200000
12 4976 0.125000
12 5038 0.166667
12 5115 0.200000
12 5234 0.142857
12 5265 0.125000
12 5291 0.142857
12 5633 0.166667
12 5647 0.200000
12 5703 0.125000
12 5728 0.200000
12 5784 0.166667
12 5810 0.200000
12 5886 0.200000
12 5925 0.200000
12 5933 0.166667
12 6022 0.200000
12 6083 0.200000
12 6191 0.200000
12 6251 0.166667
12 6280 0.200000
12 6286 0.200000
12 6311 0.111111
12 6393 0.166667
12 6427 0.142857
12 6633 0.142857
12 6709 0.125000
12 6931 0.142857
12 7192 0.200000
12 7769 0.200000
12 7880 0.166667
12 7955 0.142857
12 8410 0.200000
12 8444 0.200000
12 8501 0.200000
12 8659 0.090909
12 8703 0.166667
12 8911 0.166667
12 9180 0.166667
12 9218 0.125000
12 9220 0.125000
12 9408 0.200000
12 9431 0.166667
12 9448 0.200000
12 9613 0.125000
12 9825 0.166667
12 9904 0.200000
12 9922 0.200000
12 9991 0.200000
12 10085 0.166667
12 10132 0.076923
6 12 0.009709
6 634 0.142857
6 814 0.010753
6 1169 0.012195
6 1201 0.015625
6 1546 0.022222
6 2886 0.166667
6 3106 0.200000
6 3374 0.200000
6 6128 0.200000
6 6201 0.200000
6 6216 0.142857
6 6715 0.200000
6 6967 0.166667
6 7159 0.200000
6 7160 0.200000
6 8306 0.200000
6 8535 0.166667
6 8643 0.200000
6 8793 0.166667
6 9035 0.166667
6 10196 0.200000
634 6 0.045455
634 676 0.200000
634 5005 0.200000
634 6850 0.142857
634 8215 0.022727
634 8387 0.200000
634 8474 0.027778
814 6 0.045455
814 12 0.009709
814 50 0.200000
814 163 0.200000
814 197 0.142857
814 210 0.111111
814 364 0.200000
814 438 0.166667
814 612 0.142857
814 725 0.166667
814 832 0.166667
814 1044 0.166667
814 1048 0.071429
814 1169 0.012195
814 1201 0.015625
814 1222 0.111111
814 1261 0.200000
814 1546 0.022222
814 1569 0.200000
814 1780 0.200000
814 1804 0.200000
814 2092 0.200000
814 2108 0.200000
814 2169 0.166667
814 2215 0.200000
814 2388 0.083333
814 2552 0.166667
814 2863 0.058824
814 2913 0.200000
814 3264 0.166667
814 3276 0.200000
814 3423 0.200000
814 3429 0.200000
814 3481 0.142857
814 3492 0.142857
814 3555 0.200000
814 3710 0.200000
814 3769 0.200000
814 3776 0.200000
814 4108 0.166667
814 4211 0.200000
814 4335 0.166667
814 4762 0.200000
814 4791 0.200000
814 4797 0.166667
814 4861 0.200000
814 4976 0.125000
814 5038 0.166667
814 5115 0.200000
814 5234 0.142857
814 5265 0.125000
814 5633 0.166667
814 5647 0.200000
814 5728 0.200000
814 5784 0.166667
814 5810 0.200000
814 5886 0.200000
814 5925 0.200000
814 5933 0.166667
814 6022 0.200000
814 6083 0.200000
814 6191 0.200000
814 6251 0.166667
814 6280 0.200000
814 6286 0.200000
814 6311 0.111111
814 6393 0.166667
814 6427 0.142857
814 6633 0.142857
814 6709 0.125000
814 6931 0.142857
814 7192 0.200000
814 7769 0.200000
814 7880 0.166667
814 7955 0.142857
814 8410 0.200000
814 8444 0.200000
814 8501 0.200000
814 8703 0.166667
814 8911 0.166667
814 9180 0.166667
814 9218 0.125000
814 9220 0.125000
814 9408 0.200000
814 9431 0.166667
814 9448 0.200000
814 9613 0.125000
814 9825 0.166667
814 9904 0.200000
814 9922 0.200000
814 9991 0.200000
814 10085 0.166667
814 10132 0.076923
1169 6 0.045455
1169 12 0.009709
1169 50 0.200000
1169 163 0.200000
1169 197 0.142857
1169 364 0.200000
1169 438 0.166667
1169 612 0.142857
1169 725 0.166667
1169 814 0.010753
1169 832 0.166667
1169 1044 0.166667
1169 1048 0.071429
1169 1201 0.015625
1169 1222 0.111111
1169 1261 0.200000
1169 1546 0.022222
1169 1569 0.200000
1169 1780 0.200000
1169 1804 0.200000
1169 2092 0.200000
1169 2108 0.200000
1169 2215 0.200000
1169 2388 0.083333
1169 2552 0.166667
1169 2863 0.058824
1169 2913 0.200000
1169 3264 0.166667
1169 3276 0.200000
1169 3423 0.200000
1169 3429 0.200000
1169 3481 0.142857
1169 3492 0.142857
1169 3555 0.200000
1169 3710 0.200000
1169 3769 0.200000
1169 3776 0.200000
1169 4108 0.166667
1169 4211 0.200000
1169 4762 0.200000
1169 4791 0.200000
1169 4976 0.125000
1169 5038 0.166667
1169 5115 0.200000
1169 5234 0.142857
1169 5728 0.200000
1169 5784 0.166667
1169 5810 0.200000
1169 5886 0.200000
1169 5925 0.200000
1169 5933 0.166667
1169 6022 0.200000
1169 6083 0.200000
1169 6191 0.200000
1169 6251 0.166667
1169 6280 0.200000
1169 6286 0.200000
1169 6311 0.111111
1169 6393 0.166667
1169 6427 0.142857
1169 6633 0.142857
1169 6709 0.125000
1169 6931 0.142857
1169 7192 0.200000
1169 7769 0.200000
1169 7880 0.166667
1169 8410 0.200000
1169 8444 0.200000
1169 8501 0.200000
1169 8703 0.166667
1169 8911 0.166667
1169 9180 0.166667
1169 9218 0.125000
1169 9408 0.200000
1169 9431 0.166667
1169 9448 0.200000
1169 9613 0.125000
1169 9825 0.166667
1169 9904 0.200000
1169 9922 0.200000
1169 9991 0.200000
1169 10132 0.076923
1201 6 0.045455
1201 12 0.009709
1201 50 0.200000
1201 163 0.200000
1201 197 0.142857
1201 438 0.166667
1201 612 0.142857
1201 814 0.010753
1201 832 0.166667
1201 1044 0.166667
1201 1048 0.071429
1201 1169 0.012195
1201 1222 0.111111
1201 1546 0.022222
1201 1569 0.200000
1201 1804 0.200000
1201 2092 0.200000
1201 2108 0.200000
1201 2913 0.200000
1201 3264 0.166667
1201 3276 0.200000
1201 3423 0.200000
1201 3429 0.200000
1201 3481 0.142857
1201 3555 0.200000
1201 3710 0.200000
1201 3769 0.200000
1201 3776 0.200000
1201 4211 0.200000
1201 4762 0.200000
1201 4791 0.200000
1201 5038 0.166667
1201 5115 0.200000
1201 5234 0.142857
1201 5728 0.200000
1201 5810 0.200000
1201 5886 0.200000
1201 5933 0.166667
1201 6022 0.200000
1201 6083 0.200000
1201 6191 0.200000
1201 6280 0.200000
1201 6286 0.200000
